,Perundangan1,Perundangan2,Topic1,Topic2
0,Peraturan_Pemerintah_No.99_Tahun_2013,Undang-Undang_No._24_Tahun_2011,tetap atur perintah kelola,undang undang badan selenggara jamin sosial
1,Peraturan_Pemerintah_No._45_Tahun_1995,Undang-Undang_No.8_Tahun_1995,tetap atur perintah selenggara giat bidang pasar modal,tetap undang undang pasar modal
2,Peraturan_Pemerintah_No.25_Tahun_2020,Undang-Undang_No.4_Tahun_2016,atur perintah selenggara tabung rumah rakyat,undang undang tabung rumah rakyat
3,Peraturan_Pemerintah_No.53_Tahun_2018,Undang-Undang_No._24_Tahun_2011,atur perintah ubah atur perintah nomor 87 2013 kelola aset jamin sosial sehat,undang undang badan selenggara jamin sosial
4,PP_55_2015,Undang-Undang_No._24_Tahun_2011,atur perintah ubah atur perintah nomor 99 2013 kelola aset jamin sosial ketenagakerjaan,undang undang badan selenggara jamin sosial
5,Peraturan_Pemerintah_No.73_Tahun_1992,Undang-Undang_No.40_Tahun_2014,atur perintah republik indonesia selenggara,tetap undang undang asuransi
6,Peraturan_Pemerintah_No.73_Tahun_2016,Undang-Undang_No._24_Tahun_2011,atur perintah pajak hasil program jamin sosial selenggara badan selenggara jamin sosial,undang undang badan selenggara jamin sosial
7,PERPRES_49_2011,Peraturan_Pemerintah_No.75_Tahun_1992,kesah asean comprehensive investment agreement tuju tanam modal asean ditandatangani cha am thailand tanggal 26 februari 2009 naskah asli bahasa inggris terjemah bahasa indonesia lampir pisah,tetap atur perintah republik indonesia serta modal negara republik indonesia diri usaha asuransi investasi kredit ekspor
8,Peraturan_Presiden_No.44_Tahun_2008,Peraturan_Pemerintah_No.73_Tahun_2016,sistem jamin sosial nasional,atur perintah pajak hasil program jamin sosial selenggara badan selenggara jamin sosial
9,Inpres Nomor 2 Tahun 2021,Peraturan_Pemerintah_No.99_Tahun_2013,nomor 2 2021,tetap atur perintah kelola
10,Inpres Nomor 2 Tahun 2021,Peraturan_Pemerintah_No.73_Tahun_2016,nomor 2 2021,atur perintah pajak hasil program jamin sosial selenggara badan selenggara jamin sosial
11,Peraturan_Presiden_No.44_Tahun_2008,Undang-Undang_No._24_Tahun_2011,sistem jamin sosial nasional,undang undang badan selenggara jamin sosial
12,Inpres Nomor 2 Tahun 2021,Undang-Undang_No._24_Tahun_2011,nomor 2 2021,undang undang badan selenggara jamin sosial
13,PERMEN_KEU_119PMK082016_2016,Undang-Undang_No.11_Tahun_2016,atur menteri uang tata,undang undang ampun pajak
14,KEPMEN_KEU_511KMK062002_2002,Peraturan_Pemerintah_No.77_Tahun_1992,putus menteri uang investasi dana pensiun menteri uang republik indonesia,tetap atur perintah republik indonesia dana pensiun lembaga uang
15,KEPMEN_DAGRI_29_2002,Peraturan_Pemerintah_No.105_Tahun_2000,putus menteri negeri pedoman urus pertanggungjawaban awas uang daerah tata susun anggar dapat belanja daerah laksana tata usaha uang daerah susun hitung anggar dapat belanja daerah menteri negeri republik indonesia,tetap atur perintah kelola pertanggungjawaban uang daerah
16,KEPMEN_KEU_509KMK062002_2002,Peraturan_Pemerintah_No.77_Tahun_1992,putus menteri uang lapor uang dana pensiun menteri uang republik indonesia,tetap atur perintah republik indonesia dana pensiun lembaga uang
17,PERMEN_DAGRI_52_2012,Peraturan_Pemerintah_No.63_Tahun_2019,tetap atur menteri negeri,atur perintah investasi perintah
18,PERMEN_DAGRI_52_2012,Peraturan_Pemerintah_No.1_Tahun_2008,tetap atur menteri negeri,atur perintah investasi perintah
19,PERMEN_DAGRI_52_2012,Peraturan_Pemerintah_No.8_Tahun_2007,tetap atur menteri negeri,tetap atur perintah investasi perintah
20,Peraturan_Menteri_Keuangan_nomor_183_PMK.010_2022_tahun_2022,Peraturan_Pemerintah_No.63_Tahun_2019,tetap atur menteri uang tambah investasi perintah republik indonesia lembaga uang internasional anggar 2022,atur perintah investasi perintah
21,Peraturan_Menteri_Keuangan_nomor_183_PMK.010_2022_tahun_2022,Peraturan_Pemerintah_No.1_Tahun_2008,tetap atur menteri uang tambah investasi perintah republik indonesia lembaga uang internasional anggar 2022,atur perintah investasi perintah
22,Peraturan_Menteri_Keuangan_nomor_183_PMK.010_2022_tahun_2022,Peraturan_Pemerintah_No.8_Tahun_2007,tetap atur menteri uang tambah investasi perintah republik indonesia lembaga uang internasional anggar 2022,tetap atur perintah investasi perintah
23,PERMEN_KEU_50PMK0102019_2019,Peraturan_Pemerintah_No.63_Tahun_2019,atur menteri uang,atur perintah investasi perintah
24,KEPMEN_KOOREK_KEP45MEKON082007_2007,Perpres Nomor 31 Tahun 2021,bentuk tim kembang sistem layan informasi izin investasi elektronik tim kembang spipise susun anggota arah menteri koordinator bidang ekonomi menteri komunikasi informatika menteri negeri menteri negeri menteri uang menteri dagang menteri industri menteri energi sumber daya mineral menteri hubung 10 menteri kerja 11 menteri tani 12 menteri hutan 13 menteri laut ikan 14 abcdefghijkl,menteri didik budaya riset teknologi menteri didik budaya riset teknologi pimpin koordinasi
25,KEPMEN_KOOREK_KEP45MEKON082007_2007,Keputusan_Presiden_No.117_Tahun_1999,bentuk tim kembang sistem layan informasi izin investasi elektronik tim kembang spipise susun anggota arah menteri koordinator bidang ekonomi menteri komunikasi informatika menteri negeri menteri negeri menteri uang menteri dagang menteri industri menteri energi sumber daya mineral menteri hubung 10 menteri kerja 11 menteri tani 12 menteri hutan 13 menteri laut ikan 14 abcdefghijkl,laksana limpah wenang ayat gubernur kepala daerah propinsi tugas ketua badan koordinasi tanam modal daerah
26,KEPMEN_KOOREK_KEP45MEKON082007_2007,Keputusan_Presiden_No.28_Tahun_2010,bentuk tim kembang sistem layan informasi izin investasi elektronik tim kembang spipise susun anggota arah menteri koordinator bidang ekonomi menteri komunikasi informatika menteri negeri menteri negeri menteri uang menteri dagang menteri industri menteri energi sumber daya mineral menteri hubung 10 menteri kerja 11 menteri tani 12 menteri hutan 13 menteri laut ikan 14 abcdefghijkl,20 21 22
27,KEPMEN_KOOREK_KEP45MEKON082007_2007,Inpres_11_2011,bentuk tim kembang sistem layan informasi izin investasi elektronik tim kembang spipise susun anggota arah menteri koordinator bidang ekonomi menteri komunikasi informatika menteri negeri menteri negeri menteri uang menteri dagang menteri industri menteri energi sumber daya mineral menteri hubung 10 menteri kerja 11 menteri tani 12 menteri hutan 13 menteri laut ikan 14 abcdefghijkl,laksana komitmen cetak biru masyarakat ekonomi association of southeast asi nations 2011
28,KEPMGK_INVBKPM_33SK1998_1998,Keputusan_Presiden_No.121_Tahun_1999,tetap putus menteri negara investasi kepala badan koordinasi tanam modal limpah wenang beri tuju kendali tanam modal kawasan kembang ekonomi padu pulau natuna ketua badan kelola kembang pulau natuna,laksana nilai mohon tanam modal negeri pmdn tanam modal asing pma sektor industri
29,KEPMGK_INVBKPM_33SK1998_1998,Keputusan_Presiden_No.117_Tahun_1999,tetap putus menteri negara investasi kepala badan koordinasi tanam modal limpah wenang beri tuju kendali tanam modal kawasan kembang ekonomi padu pulau natuna ketua badan kelola kembang pulau natuna,laksana limpah wenang ayat gubernur kepala daerah propinsi tugas ketua badan koordinasi tanam modal daerah
30,KEPMGK_INVBKPM_38SK1999_1999,Keppres0541993,tetap putus menteri negara investasi kepala badan koordinasi tanam modal pedoman tata mohon tanam modal diri rangka tanam modal negeri tanam modal asing,usaha tutup tanam modal
31,KEPMGK_INVBKPM_38SK1999_1999,Keputusan_Presiden_No.121_Tahun_1999,tetap putus menteri negara investasi kepala badan koordinasi tanam modal pedoman tata mohon tanam modal diri rangka tanam modal negeri tanam modal asing,laksana nilai mohon tanam modal negeri pmdn tanam modal asing pma sektor industri
32,KEPMGK_INVBKPM_38SK1999_1999,Keputusan_Presiden_No.37_Tahun_1970,tetap putus menteri negara investasi kepala badan koordinasi tanam modal pedoman tata mohon tanam modal diri rangka tanam modal negeri tanam modal asing,bentuk team panitia laksana tanam modal asing bidang hutan selandjutnja team teliti susun anggota ketua major djenderal tni panudju departemen tahan aman anggaota pedjabat direktorat djenderal hutan jang ditundjuk menteri tani pedjabat direktorat djenderal hubung darat jang ditundjuk menteri parhubungar pedjabat direktorat djenderal bina guna tenaga kerdja jang ditundjuk menteri tenaga kerdja pedjabat direktorat djenderal transmigrasi jang ditundjuk olah menteri transmigrasi koperasi pedjabat direktorat djenderal teliti kembang siap kebidjaksanaan jang ditundjuk olah menteri dagang pedjabat direktorat djenderal pmerintahan otonomi daerah jang ditundjuk menteri negeri pedjabat direktorat djenderal bea tjukai jang ditundjuk menteri uang
33,KEPMGK_INVBKPM_38SK1999_1999,Keputusan_Presiden_No.117_Tahun_1999,tetap putus menteri negara investasi kepala badan koordinasi tanam modal pedoman tata mohon tanam modal diri rangka tanam modal negeri tanam modal asing,laksana limpah wenang ayat gubernur kepala daerah propinsi tugas ketua badan koordinasi tanam modal daerah
34,Undang-Undang_No.27_Tahun_2014,Salinan UU Nomor 9 Tahun 2020,tetap undang undang anggar dapat belanja negara anggar 2015,undang undang anggar dapat belanja negara anggar 2021
35,Undang-Undang_No.22_Tahun_2006,Salinan UU Nomor 9 Tahun 2020,undang undang tanggung jaw aban laksana anggar dapat belanja negara anggar 2004,undang undang anggar dapat belanja negara anggar 2021
36,Undang-Undang_No.22_Tahun_2006,Undang-Undang_No.27_Tahun_2014,undang undang tanggung jaw aban laksana anggar dapat belanja negara anggar 2004,tetap undang undang anggar dapat belanja negara anggar 2015
37,Undang-Undang_No.33_Tahun_2004,Undang-Undang_No.1_Tahun_2004,tetap undang undang imbang uang perintah pusat perintah daerah,tetap undang undang bendahara negara
38,Peraturan_Pemerintah_No.1_Tahun_2008,Peraturan_Pemerintah_No.63_Tahun_2019,atur perintah investasi perintah,atur perintah investasi perintah
39,Peraturan_Pemerintah_No.8_Tahun_2007,Peraturan_Pemerintah_No.63_Tahun_2019,tetap atur perintah investasi perintah,atur perintah investasi perintah
40,Peraturan_Pemerintah_No.8_Tahun_2007,Peraturan_Pemerintah_No.1_Tahun_2008,tetap atur perintah investasi perintah,atur perintah investasi perintah
41,PERATURAN_PEMERINTAH_PENGGANTI_UNDANG-UNDANG_NOMOR_21_TAHUN_1960,PERATURAN_PEMERINTAH_PENGGANTI_UNDANG-UNDANG_NOMOR_7_TAHUN_1962,atur perintah ganti undang undang bank bangun indonesia,tetap atur perintah ganti undang undang guna awas guna dana dana investasi
42,Peraturan_Pemerintah_No._49_Tahun_2011,Peraturan_Pemerintah_No.63_Tahun_2019,atur perintah ubah atur perintah nomor 1 2008 investasi perintah,atur perintah investasi perintah
43,Peraturan_Pemerintah_No._49_Tahun_2011,Peraturan_Pemerintah_No.1_Tahun_2008,atur perintah ubah atur perintah nomor 1 2008 investasi perintah,atur perintah investasi perintah
44,Peraturan_Pemerintah_No._49_Tahun_2011,Peraturan_Pemerintah_No.8_Tahun_2007,atur perintah ubah atur perintah nomor 1 2008 investasi perintah,tetap atur perintah investasi perintah
45,Peraturan_Pemerintah_No.18_Tahun_1983,PERATURAN_PEMERINTAH_PENGGANTI_UNDANG-UNDANG_NOMOR_21_TAHUN_1960,atur perintah usaha eru,atur perintah ganti undang undang bank bangun indonesia
46,Peraturan_Pemerintah_No.30_Tahun_1982,PERATURAN_PEMERINTAH_PENGGANTI_UNDANG-UNDANG_NOMOR_21_TAHUN_1960,apkan uran perintah alih bentuk usaha negara,atur perintah ganti undang undang bank bangun indonesia
47,Peraturan_Pemerintah_No.30_Tahun_1982,Peraturan_Pemerintah_No.18_Tahun_1983,apkan uran perintah alih bentuk usaha negara,atur perintah usaha eru
48,Peraturan_Pemerintah_No.53_Tahun_2018,Peraturan_Pemerintah_No.99_Tahun_2013,atur perintah ubah atur perintah nomor 87 2013 kelola aset jamin sosial sehat,tetap atur perintah kelola
49,PP_55_2015,Peraturan_Pemerintah_No.99_Tahun_2013,atur perintah ubah atur perintah nomor 99 2013 kelola aset jamin sosial ketenagakerjaan,tetap atur perintah kelola
50,PP_55_2015,Peraturan_Pemerintah_No.53_Tahun_2018,atur perintah ubah atur perintah nomor 99 2013 kelola aset jamin sosial ketenagakerjaan,atur perintah ubah atur perintah nomor 87 2013 kelola aset jamin sosial sehat
51,Peraturan_Pemerintah_No.28_Tahun_1984,Peraturan_Pemerintah_No.18_Tahun_1983,tetap atur perintah republik indonesia alih bentuk usaha negara tambang batubara usaha perum,atur perintah usaha eru
52,Peraturan_Pemerintah_No.28_Tahun_1984,Peraturan_Pemerintah_No.30_Tahun_1982,tetap atur perintah republik indonesia alih bentuk usaha negara tambang batubara usaha perum,apkan uran perintah alih bentuk usaha negara
53,PP Nomor 93 Tahun 2021,2021pp049,atur perintah laku pajak hasil alih partisipasi interes giat usaha hulu minyak gas bumi,tetap atur perintah laku paja transaksi libat lembaga kelola investasi entitas milik
54,Peraturan_Pemerintah_No.73_Tahun_2016,Peraturan_Pemerintah_No.99_Tahun_2013,atur perintah pajak hasil program jamin sosial selenggara badan selenggara jamin sosial,tetap atur perintah kelola
55,Peraturan_Pemerintah_No.73_Tahun_2016,Peraturan_Pemerintah_No.53_Tahun_2018,atur perintah pajak hasil program jamin sosial selenggara badan selenggara jamin sosial,atur perintah ubah atur perintah nomor 87 2013 kelola aset jamin sosial sehat
56,Peraturan_Pemerintah_No.73_Tahun_2016,PP_55_2015,atur perintah pajak hasil program jamin sosial selenggara badan selenggara jamin sosial,atur perintah ubah atur perintah nomor 99 2013 kelola aset jamin sosial ketenagakerjaan
57,PP_27_1985,Peraturan_Pemerintah_No.18_Tahun_1983,perintah perintah republik indonesia,atur perintah usaha eru
58,PP_27_1985,Peraturan_Pemerintah_No.30_Tahun_1982,perintah perintah republik indonesia,apkan uran perintah alih bentuk usaha negara
59,PP_27_1985,Peraturan_Pemerintah_No.28_Tahun_1984,perintah perintah republik indonesia,tetap atur perintah republik indonesia alih bentuk usaha negara tambang batubara usaha perum
60,Peraturan_Pemerintah_No.54_Tahun_1993,Peraturan_Pemerintah_No.75_Tahun_1992,atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt len industri,tetap atur perintah republik indonesia serta modal negara republik indonesia diri usaha asuransi investasi kredit ekspor
61,Peraturan_Pemerintah_No.33_Tahun_1993,Peraturan_Pemerintah_No.75_Tahun_1992,tetap atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt pt pal indonesia,tetap atur perintah republik indonesia serta modal negara republik indonesia diri usaha asuransi investasi kredit ekspor
62,Peraturan_Pemerintah_No.33_Tahun_1993,Peraturan_Pemerintah_No.54_Tahun_1993,tetap atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt pt pal indonesia,atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt len industri
63,Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.75_Tahun_1992,atur perintah tambah serta modal negara republik indonesia modal saham usaha persero persero pt danareksa,tetap atur perintah republik indonesia serta modal negara republik indonesia diri usaha asuransi investasi kredit ekspor
64,Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.54_Tahun_1993,atur perintah tambah serta modal negara republik indonesia modal saham usaha persero persero pt danareksa,atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt len industri
65,Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.33_Tahun_1993,atur perintah tambah serta modal negara republik indonesia modal saham usaha persero persero pt danareksa,tetap atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt pt pal indonesia
66,Salinan Perpres Nomor 71 Tahun 2019,Peraturan_Presiden_No.71_Tahun_2019,menteri koordinator bidang maritim,menteri koordinator bidang maritim
67,Keppres0541993,PERPRES_49_2011,usaha tutup tanam modal,kesah asean comprehensive investment agreement tuju tanam modal asean ditandatangani cha am thailand tanggal 26 februari 2009 naskah asli bahasa inggris terjemah bahasa indonesia lampir pisah
68,Keputusan_Presiden_No.121_Tahun_1999,Keppres0541993,laksana nilai mohon tanam modal negeri pmdn tanam modal asing pma sektor industri,usaha tutup tanam modal
69,Keputusan_Presiden_No.176_Tahun_2000,Keputusan_Presiden_No.108_Tahun_2001,menteri muda urus cepat bangun kawasan timur indonesia,menteri negara daya perempuan
70,Keputusan_Presiden_No.37_Tahun_1970,Keppres0541993,bentuk team panitia laksana tanam modal asing bidang hutan selandjutnja team teliti susun anggota ketua major djenderal tni panudju departemen tahan aman anggaota pedjabat direktorat djenderal hutan jang ditundjuk menteri tani pedjabat direktorat djenderal hubung darat jang ditundjuk menteri parhubungar pedjabat direktorat djenderal bina guna tenaga kerdja jang ditundjuk menteri tenaga kerdja pedjabat direktorat djenderal transmigrasi jang ditundjuk olah menteri transmigrasi koperasi pedjabat direktorat djenderal teliti kembang siap kebidjaksanaan jang ditundjuk olah menteri dagang pedjabat direktorat djenderal pmerintahan otonomi daerah jang ditundjuk menteri negeri pedjabat direktorat djenderal bea tjukai jang ditundjuk menteri uang,usaha tutup tanam modal
71,Keputusan_Presiden_No.37_Tahun_1970,Keputusan_Presiden_No.121_Tahun_1999,bentuk team panitia laksana tanam modal asing bidang hutan selandjutnja team teliti susun anggota ketua major djenderal tni panudju departemen tahan aman anggaota pedjabat direktorat djenderal hutan jang ditundjuk menteri tani pedjabat direktorat djenderal hubung darat jang ditundjuk menteri parhubungar pedjabat direktorat djenderal bina guna tenaga kerdja jang ditundjuk menteri tenaga kerdja pedjabat direktorat djenderal transmigrasi jang ditundjuk olah menteri transmigrasi koperasi pedjabat direktorat djenderal teliti kembang siap kebidjaksanaan jang ditundjuk olah menteri dagang pedjabat direktorat djenderal pmerintahan otonomi daerah jang ditundjuk menteri negeri pedjabat direktorat djenderal bea tjukai jang ditundjuk menteri uang,laksana nilai mohon tanam modal negeri pmdn tanam modal asing pma sektor industri
72,Keputusan_Presiden_No.12_Tahun_2006,PERPRES_49_2011,susun anggota komite arah diktum ketua menteri koordinator bidang ekonomi anggota menteri uang menteri dagang menteri industri menteri negeri menteri hukum hak asasi manusia menteri tenaga kerja transmigrasi sekretaris kabinet kepala polisi negara republik indonesia kepala badan tanah nasional 10 kepala badan koordinasi tanam modal 11 gubernur provinsi pulau riau komite arah tugas 1 awas laksana kerjasama perintah republik indonesia perintah,kesah asean comprehensive investment agreement tuju tanam modal asean ditandatangani cha am thailand tanggal 26 februari 2009 naskah asli bahasa inggris terjemah bahasa indonesia lampir pisah
73,Keppres Nomor 11 Tahun 2021,Perpres Nomor 31 Tahun 2021,rangka tingkat investasi mudah usaha bentuk satu tugas cepat investasi satgas investasi,menteri didik budaya riset teknologi menteri didik budaya riset teknologi pimpin koordinasi
74,Keputusan_Presiden_No.117_Tahun_1999,Keputusan_Presiden_No.121_Tahun_1999,laksana limpah wenang ayat gubernur kepala daerah propinsi tugas ketua badan koordinasi tanam modal daerah,laksana nilai mohon tanam modal negeri pmdn tanam modal asing pma sektor industri
75,Inpres No 6 Tahun 2014,Inpres_11_2011,nomor 6 2014,laksana komitmen cetak biru masyarakat ekonomi association of southeast asi nations 2011
76,KEPMEN_KOOREK_KEP45MEKON082007_2007,KEPMENKO_KOOREK_KEP23MEKON042008_2008,bentuk tim kembang sistem layan informasi izin investasi elektronik tim kembang spipise susun anggota arah menteri koordinator bidang ekonomi menteri komunikasi informatika menteri negeri menteri negeri menteri uang menteri dagang menteri industri menteri energi sumber daya mineral menteri hubung 10 menteri kerja 11 menteri tani 12 menteri hutan 13 menteri laut ikan 14 abcdefghijkl,putus menteri koordinator bidang ekonomi ketua hari tim nasional tingkat ekspor tingkat investasi ubah putus menteri koordinator bidang ekonomi abcdefghijkl
77,KEPMEN_KEU_509KMK062002_2002,KEPMEN_KEU_511KMK062002_2002,putus menteri uang lapor uang dana pensiun menteri uang republik indonesia,putus menteri uang investasi dana pensiun menteri uang republik indonesia
78,1_PMK.05_2021,PERMEN_KEU_103PMK052019_2019,atur menteri uang tarif layan badan layan pusat investasi perintah menteri uang,tetap atur menteri uang standar layan minimum pusat investasi perintah
79,PERMEN_KEU_50PMK0102019_2019,PERMEN_KEU_103PMK052019_2019,atur menteri uang,tetap atur menteri uang standar layan minimum pusat investasi perintah
80,PERMEN_KEU_50PMK0102019_2019,Peraturan_Menteri_Keuangan_nomor_183_PMK.010_2022_tahun_2022,atur menteri uang,tetap atur menteri uang tambah investasi perintah republik indonesia lembaga uang internasional anggar 2022
81,pmmarves002_2021,pmmarves001_2022,tetap atur menteri koordinator bidang maritim investasi pedoman kerja menteri koordinator bidang maritim investasi,tetap atur menteri koordinator bidang maritim investasi sistem klasifikasi aman akses arsip dinamis menteri koordinator bidang maritim investasi
82,KEPMGK_INVBKPM_33SK1998_1998,KEPMEN_KOOREK_KEP45MEKON082007_2007,tetap putus menteri negara investasi kepala badan koordinasi tanam modal limpah wenang beri tuju kendali tanam modal kawasan kembang ekonomi padu pulau natuna ketua badan kelola kembang pulau natuna,bentuk tim kembang sistem layan informasi izin investasi elektronik tim kembang spipise susun anggota arah menteri koordinator bidang ekonomi menteri komunikasi informatika menteri negeri menteri negeri menteri uang menteri dagang menteri industri menteri energi sumber daya mineral menteri hubung 10 menteri kerja 11 menteri tani 12 menteri hutan 13 menteri laut ikan 14 abcdefghijkl
83,KEPMGK_INVBKPM_38SK1999_1999,KEPMEN_KOOREK_KEP45MEKON082007_2007,tetap putus menteri negara investasi kepala badan koordinasi tanam modal pedoman tata mohon tanam modal diri rangka tanam modal negeri tanam modal asing,bentuk tim kembang sistem layan informasi izin investasi elektronik tim kembang spipise susun anggota arah menteri koordinator bidang ekonomi menteri komunikasi informatika menteri negeri menteri negeri menteri uang menteri dagang menteri industri menteri energi sumber daya mineral menteri hubung 10 menteri kerja 11 menteri tani 12 menteri hutan 13 menteri laut ikan 14 abcdefghijkl
84,KEPMGK_INVBKPM_38SK1999_1999,KEPMGK_INVBKPM_33SK1998_1998,tetap putus menteri negara investasi kepala badan koordinasi tanam modal pedoman tata mohon tanam modal diri rangka tanam modal negeri tanam modal asing,tetap putus menteri negara investasi kepala badan koordinasi tanam modal limpah wenang beri tuju kendali tanam modal kawasan kembang ekonomi padu pulau natuna ketua badan kelola kembang pulau natuna
